,Topic,Word,P
0,0,dina_sulaeman,0.028874561
1,0,allahu_akbar,0.020228622
2,0,serang_udara,0.017056344
3,0,sulaeman,0.0145366555
4,0,dina,0.014536532
5,0,datang,0.013100614
6,0,kota,0.012949687
7,0,bela,0.010393388
8,0,donasi,0.009616222
9,0,hak,0.009609832
10,1,nenek_moyang,0.02862426
11,1,indonesia_diri,0.025063124
12,1,tegas,0.020869652
13,1,bela,0.015875954
14,1,titaeooie,0.013742346
15,1,opini,0.013660359
16,1,aceh,0.012807292
17,1,saudari,0.012269781
18,1,janji_allah,0.011784965
19,1,merdeka,0.011596501
20,2,umat_muslim,0.019152349
21,2,doa_saudara,0.015133473
22,2,salat,0.013760321
23,2,demo,0.012514874
24,2,jalur_gaza,0.012372042
25,2,tragedi_manusia,0.01234313
26,2,bin,0.012292576
27,2,lepas,0.010863723
28,2,pdemokrat,0.010841211
29,2,agusyudhoyono,0.01084088
30,3,urus,0.021052556
31,3,sabar,0.017787352
32,3,ramai,0.015396985
33,3,rasa,0.014901541
34,3,wajar,0.014305949
35,3,daya,0.013191492
36,3,keji,0.011396805
37,3,konsisten,0.011249709
38,3,iya_allah,0.010780512
39,3,zionis,0.010541905
40,4,terima_kasih,0.030504942
41,4,terima,0.011619441
42,4,negara,0.010466973
43,4,tani,0.0104432115
44,4,salah,0.009864932
45,4,sok,0.009841653
46,4,donasi,0.009681579
47,4,jahat,0.009320707
48,4,peduli,0.0091118
49,4,kasih,0.008901708
50,5,tepi_barat,0.017718852
51,5,omj_jenggot,0.014558392
52,5,ottoman,0.012513604
53,5,hamas,0.010404153
54,5,bangsa,0.0099988235
55,5,gas,0.0096807815
56,5,west,0.008882637
57,5,mukim,0.00885971
58,5,softwarnews,0.008846805
59,5,free,0.008498118
60,6,butuh,0.015796188
61,6,militer,0.012017549
62,6,umat_islam,0.011667055
63,6,bro,0.010758262
64,6,guna,0.010533174
65,6,tanah,0.010474684
66,6,agama,0.009363571
67,6,perang,0.0092186285
68,6,rebut,0.008872097
69,6,laksana,0.008803622
70,7,pergi,0.014047174
71,7,jihad,0.013403549
72,7,caplok,0.00993304
73,7,tewas,0.009705318
74,7,puluh_tahun,0.009054172
75,7,jajah,0.008794234
76,7,bank,0.008782803
77,7,warga,0.008775108
78,7,twitter,0.0085245175
79,7,ungkap,0.007918697
80,8,merdeka,0.028710922
81,8,indonesia,0.024167128
82,8,krzvnism_convomfs,0.016167702
83,8,freepalestine,0.014037103
84,8,dukung,0.012597449
85,8,sebut,0.011887817
86,8,kayak,0.0112601705
87,8,kirim,0.010359794
88,8,sedih_banget,0.009446798
89,8,tahan,0.009339165
90,9,warga_sipil,0.03797153
91,9,dukung,0.026089484
92,9,fakta,0.016946578
93,9,isu_bohong,0.015676035
94,9,sipil,0.013569644
95,9,prabowo,0.011909908
96,9,warga,0.011753171
97,9,beenaq,0.011542313
98,9,gibran,0.010535328
99,9,sistem,0.010383197
100,10,iya_allah,0.039025903
101,10,peluru_kendali,0.020510202
102,10,gencat_senjata,0.020156918
103,10,banget,0.017400049
104,10,manusiawi,0.013320154
105,10,iya,0.013152635
106,10,sidang,0.011950778
107,10,allah,0.0116752945
108,10,manusia,0.011448761
109,10,lebanon,0.01134601
110,11,alir,0.014261826
111,11,sumber,0.013888273
112,11,ooo,0.0122190695
113,11,china,0.010986094
114,11,kendara,0.010552748
115,11,batas,0.010384947
116,11,bangkit,0.009676057
117,11,bantu,0.009543412
118,11,negara,0.009503655
119,11,non,0.00922879
120,12,anti,0.017730992
121,12,fakta,0.016367823
122,12,ekowboy,0.016272645
123,12,profesional,0.015605117
124,12,anak_anak,0.014612622
125,12,tau,0.014301546
126,12,softwarnews,0.01265685
127,12,ig,0.011804979
128,12,konflik_israelpalestina,0.0116455555
129,12,tanah_air,0.011471246
130,13,cordova_media,0.039413013
131,13,cordova,0.019758003
132,13,bu,0.018182395
133,13,menlu,0.017715128
134,13,selatan,0.017479127
135,13,media,0.017126076
136,13,nazi,0.016397825
137,13,indonesia,0.011844468
138,13,pikir,0.010283187
139,13,kadrun,0.01015666
140,14,hamas_teroris,0.031521976
141,14,moga_allah,0.019994024
142,14,moga,0.019873306
143,14,merdeka,0.01626308
144,14,penting,0.013608588
145,14,konflik,0.013285754
146,14,sahabatalaqsha_qudsnen,0.012653204
147,14,simpati,0.012115091
148,14,anggap,0.011712886
149,14,aksi_bela,0.011534018
150,15,hapus,0.023072043
151,15,waktu,0.019563306
152,15,iblis,0.012720618
153,15,komentar,0.012242475
154,15,hamas,0.012064316
155,15,klaim,0.0107831275
156,15,peta,0.010281335
157,15,kontol,0.009402577
158,15,rcr_agusyudhoyono,0.009315241
159,15,pdemokrat_demokrat,0.009315232
160,16,negara_arab,0.038686045
161,16,arab,0.025464222
162,16,negara,0.01741483
163,16,zaman,0.013185601
164,16,netral,0.010201885
165,16,akun,0.0101575
166,16,nyebut_nama,0.010020098
167,16,diam,0.009416057
168,16,wilayah,0.00918779
169,16,titaeooie,0.009183134
170,17,bani_israil,0.030681914
171,17,yahudi_pesek,0.025905259
172,17,tvonenews,0.013310063
173,17,moga_allah,0.012306178
174,17,rakyat,0.0117009925
175,17,pesek,0.010573393
176,17,bunuh,0.010148591
177,17,filistin,0.010112313
178,17,gaza,0.010055809
179,17,air_listrik,0.009842141
180,18,iya_allah,0.022217568
181,18,doa_baik,0.018775085
182,18,dukung,0.009863312
183,18,menang,0.009790437
184,18,doa,0.009174357
185,18,lindung_saudara,0.009009224
186,18,freegaza,0.008938476
187,18,hamas,0.008757312
188,18,allah,0.008692333
189,18,iya,0.007958295
